ID	PROVINCIA	COMUNE	LOCALITA	CAMERE	SUITE	LETTI	BAGNI	PRIMA_COLAZIONE	IN_ABITATO	SUL_LAGO	VICINO_ELIPORTO	VICINO_AEREOPORTO	ZONA_CENTRALE	VICINO_IMP_RISALITA	ZONA_PERIFERICA	ZONA_STAZIONE_FS	ATTREZZATURE_VARIE	CARTE_ACCETTATE	LINGUE_PARLATE	SPORT	CONGRESSI	LATITUDINE	LONGITUDINE	OUTPUT
5736	MI	MILANO		2	0	6	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sala televisione separata	Visa,Master Card	Inglese			9.23474559	45.48611693	B&B
5737	BS	DESENZANO DEL GARDA		1	0	4	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.53976188	45.47039055	Case_Appartamenti
5738	MI	MILANO		3	0	8	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		Visa,Master Card				9.15599585	45.4814636	Case_Appartamenti
5739	BS	BRIONE		1	0	4	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.14469108	45.63613636	Case_Appartamenti
5740	MI	MILANO		101	0	102	81	0									Accettazione animali domestici		Tedesco			9.18946411	45.45544147	Case_Appartamenti
5741	BS	EDOLO		10	0	14	10	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ristorante,Bar,Sala televisione separata,Accettazione animali domestici,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Autorimessa,Trasporto clienti stazione,Lavaggio e stiratura biancheria,Custodia valori in cassaforte,Parcheggio non custodito	Tutte	Francese			10.33708175	46.17706665	1_a_3_Stelle
5742	BG	BERGAMO		1	0	4	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Access. diversamente abili totale,Accettazione animali domestici					9.67085879	45.69239269	Case_Appartamenti
5743	BS	DESENZANO DEL GARDA		5	0	10	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.53643669	45.47412593	Case_Appartamenti
5744	BS	SAN FELICE DEL BENACO		2	0	4	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.55587051	45.5952704	Case_Appartamenti
5745	BG	BERGAMO		2	0	5	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Accettazione animali domestici,Autorimessa					9.67312812	45.70109349	Case_Appartamenti
5746	BS	ANGOLO TERME		1	0	4	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.1442525	45.89219704	Case_Appartamenti
5747	BS	PONTE DI LEGNO		14	0	50	12	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.57564507	46.25743407	Case_Appartamenti
5748	BG	BERGAMO		1	0	4	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Access. diversamente abili totale					9.66895492	45.68447081	Case_Appartamenti
5749	BS	ISEO		2	0	3	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.04651475	45.6585982	Case_Appartamenti
5750	CO	SORMANO	Pian Del Tivano	4	0	7	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Posto auto		Inglese			9.248741	45.877782	B&B
5751	BG	BOSSICO		4	0	10	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.0477372	45.82862067	Case_Appartamenti
5752	BG	SAN PELLEGRINO TERME		26	0	48	26	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ascensore,Ristorante,Bar,Sala televisione separata,Parco o giardino,Servizio congressi,Accettazione gruppi,Trasporto clienti stazione,Solarium,Salone di bellezza	American express,Visa,Diners,CartaSi	Inglese,Francese			9.66561009	45.83328844	1_a_3_Stelle
5753	BS	MONIGA DEL GARDA		5	0	8	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.5375734	45.528523	Case_Appartamenti
5754	MI	PREGNANA MILANESE		3	0	6	3	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	Accesso a vetture private,Accettazione animali domestici,Aria condizionata,Biciclette per ospiti,Giochi per bambini,Parco o giardino,Posto auto,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana		Inglese,Francese,Spagnolo,Tedesco			9.0077014	45.51838161	B&B
5755	BS	BAGOLINO		10	0	45	6	0														10.4627308	45.8235613	Case_Appartamenti
5756	BS	LONATO		63	0	125	63	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ascensore,Tavernetta o tavola calda,Bar,Giochi per bambini,Parco o giardino,Servizio congressi,Accesso a mezzi pubblici,Accesso a vetture private,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Sauna privata,Aria condizionata centralizzata,Parcheggio non custodito,Access. diversamente abili parziale,SKY	Visa,Master Card	Inglese,Francese,Tedesco	Piscina scoperta		10.48121735	45.45165465	4_a_5_Stelle
5757	BS	IDRO		6	0	12	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.50818279	45.75910062	Case_Appartamenti
5758	CR	ISOLA DOVARESE		8	3	15	8	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Ascensore,Ristorante,Bar,Accettazione animali domestici,Accesso a vetture private,Parcheggio custodito,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Aria condizionata centralizzata,Riscaldamento,Parcheggio non custodito,Estintori,Servizio in camera,Enoteca,WI-FI in aree comuni,Access. diversamente abili parziale,Biciclette per ospiti	American express,Visa,Master Card,Bank Americard,Maestro,Bancomat,CartaSi,JBC,JCB,Carta Moneta,Key Client,JCV,Visa Electron	Inglese,Francese			10.31244076	45.17523899	1_a_3_Stelle
5759	CO	LIPOMO		24	0	24	14	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Access. diversamente abili totale,Access. diversamente abili parziale	Visa,Master Card,Bancomat				9.13249695	45.79556871	Case_Appartamenti
5760	MN	CASTIGLIONE DELLE STIVIERE		3	0	6	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Aria condizionata,Autorimessa,Biciclette per ospiti,Giochi per bambini,Parco o giardino,Posto auto,Sala televisione separata,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana		Inglese,Francese,Spagnolo			10.4908993	45.36357645	B&B
5761	CO	MENAGGIO		24	0	48	24	1	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	Ascensore	Visa,Master Card	Inglese,Francese,Tedesco			9.23965509	46.0197888	1_a_3_Stelle
5762	SO	LIVIGNO		2	0	8	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.12821327	46.53228066	Case_Appartamenti
5763	BS	GARDONE RIVIERA		23	0	51	22	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.57725633	45.62596315	4_a_5_Stelle
5764	BS	PUEGNAGO SUL GARDA		2	0	4	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.53103064	45.56746335	B&B
5765	BS	SIRMIONE		2	0	5	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.60710644	45.49322428	Case_Appartamenti
5766	BS	ROE' VOLCIANO		10	0	14	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.49362366	45.61364188	Case_Appartamenti
5767	MI	MILANO		5	0	10	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Accesso a mezzi pubblici,Accettazione animali domestici,Frigorifero		Inglese			9.1765736	45.50258042	Case_Appartamenti
5768	CR	CREMA		7	0	7	7	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Access. diversamente abili totale,Access. diversamente abili parziale,Accesso a mezzi pubblici,Cucina di uso comune,Frigorifero		Inglese			9.6874573	45.362828	Case_Appartamenti
5769	LC	DORIO		4	0	11	6	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Parco o giardino,Somministrazione alimenti,Somministrazione bevande,Somministrazione alcolici		Inglese,Tedesco			9.3180659	46.1010738	Case_Appartamenti
5770	BG	BERGAMO		3	0	6	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Parco o giardino					9.62153732	45.70054528	B&B
5771	BS	SALE MARASINO		3	0	4	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.11837765	45.70829611	Case_Appartamenti
5772	BS	SIRMIONE		16	0	28	16	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Aria condizionata non centralizzata,Ascensore,Bar,Custodia valori in cassette sicurezza,Parcheggio non custodito,Parco o giardino		Inglese,Francese,Tedesco	Piscina scoperta		10.61023378	45.47800601	1_a_3_Stelle
5773	LC	PASTURO		3	0	9	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Accesso a mezzi pubblici,Parco o giardino,Servizio di pulizia bagno assicurato almeno 1 volta al giorno	American express,Master Card,Diners,Maestro,Bancomat,Eurocard,CartaSi,JCB	Inglese			9.44227645	45.95898742	B&B
5774	BS	DESENZANO DEL GARDA		2	0	6	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.53681103	45.47073909	Case_Appartamenti
5775	MI	MILANO		7	0	11	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	Sala lettura separata,Sala televisione separata,Parco o giardino,Riscaldamento,Televisione satellitare		Inglese,Francese,Cinese			9.20705228	45.4814893	1_a_3_Stelle
5776	BS	SALO'		65	0	90	50	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Ascensore					10.55008634	45.61540625	1_a_3_Stelle
5777	BG	CAPRIATE SAN GERVASIO		1	0	2	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						9.52431492	45.61123159	B&B
5778	BG	ROVETTA		3	0	5	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						9.9871974	45.89381569	Case_Appartamenti
5779	BS	PONTE DI LEGNO		41	0	73	41	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ascensore,Ristorante,Tavernetta o tavola calda,Bar,Giochi per bambini,Sala televisione separata,Parco o giardino,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Custodia valori in cassaforte,Parcheggio non custodito	Tutte	Inglese,Francese,Tedesco	Sci montano,Fitness/centro salute,Campo da tennis		10.5084146	46.2583867	1_a_3_Stelle
5780	BS	SIRMIONE		7	0	11	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.6078237	45.4688494	Case_Appartamenti
5781	BS	MONTE ISOLA		4	0	6	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.09246112	45.69486171	Case_Appartamenti
5782	MI	MILANO		2	0	4	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Accettazione animali domestici					9.22125948	45.49408107	Case_Appartamenti
5783	MI	MILANO		1	0	3	1	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Accesso a mezzi pubblici,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana		Inglese,Francese			9.19504191	45.45094302	B&B
5784	BS	TIGNALE	campo grande	1	0	4	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.7217649	45.7397806	Case_Appartamenti
5785	CO	COMO		2	0	4	2	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Accesso a mezzi pubblici,Accettazione animali domestici	Tutte	Inglese,Francese			9.08468265	45.81458045	B&B
5786	SO	BORMIO		15	15	25	15	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ascensore,Bar,Giochi per bambini,Sala lettura separata,Sala televisione separata,Accesso a mezzi pubblici,Accesso a vetture private,Autorimessa,Trasporto clienti stazione,Custodia valori in cassaforte	CartaSi	Inglese,Tedesco			10.37295291	46.46795474	1_a_3_Stelle
5787	SO	LIVIGNO		12	0	24	12	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ascensore,Bar,Sala televisione separata,Accettazione animali domestici,Accettazione gruppi,Accesso a vetture private,Autorimessa,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Access. diversamente abili totale		Tedesco			10.12708565	46.52987028	1_a_3_Stelle
5788	MI	MILANO		2	0	6	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Access. diversamente abili parziale					9.19911286	45.45090974	Case_Appartamenti
5789	MN	GAZOLDO DEGLI IPPOLITI		7	0	12	7	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ristorante,Accettazione animali domestici,Accettazione gruppi,Accesso a vetture private,Parcheggio custodito,Custodia valori in cassaforte,Riscaldamento,Estintori	Tutte	Inglese			10.5565918	45.19608106	1_a_3_Stelle
5790	BS	SIRMIONE	COLOMBARE	38	0	71	38	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Bar,Parco o giardino,Accettazione animali domestici,Accettazione gruppi,Autorimessa,Spiaggia privata,Aria condizionata centralizzata,Parcheggio non custodito	American express,Visa,Master Card,Diners		Piscina scoperta		10.6106811	45.47340491	1_a_3_Stelle
