ID	PROVINCIA	COMUNE	LOCALITA	CAMERE	SUITE	LETTI	BAGNI	PRIMA_COLAZIONE	IN_ABITATO	SUL_LAGO	VICINO_ELIPORTO	VICINO_AEREOPORTO	ZONA_CENTRALE	VICINO_IMP_RISALITA	ZONA_PERIFERICA	ZONA_STAZIONE_FS	ATTREZZATURE_VARIE	CARTE_ACCETTATE	LINGUE_PARLATE	SPORT	CONGRESSI	LATITUDINE	LONGITUDINE	OUTPUT
0	BS	PERTICA BASSA		2	0	4	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.37350135	45.75138129	B&B
1	BS	DESENZANO DEL GARDA		4	0	8	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.5389467	45.4694851	B&B
2	BG	BERGAMO		1	0	2	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Accettazione animali domestici					9.66535496	45.70415788	Case_Appartamenti
3	MN	MANTOVA	BOCCABUSA	93	2	194	96	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ascensore,Ristorante,Bar,Accettazione animali domestici,Servizio congressi,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Autorimessa,Lavaggio e stiratura biancheria,Servizi baby sitting,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Aria condizionata centralizzata,Access. diversamente abili totale,Riscaldamento,Parcheggio non custodito,Internet point,Jacuzzi/Idromassaggio,Servizio in camera,WI-FI in aree comuni,Access. diversamente abili parziale,Televisione satellitare,Sala accoglienza	American express,Visa,Master Card,Diners,Maestro,Bancomat,CartaSi,AmexCo,Visa Electron	Inglese,Francese,Spagnolo,Tedesco,Rumeno,Serbo,Croato		Numero sale congressi 3,Congressi capacita' Min 3,Congressi capacita' Max 110	10.828175	45.1655055	4_a_5_Stelle
4	MI	MILANO		2	0	4	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						9.15163677	45.45717732	Case_Appartamenti
5	LC	DERVIO		3	0	10	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Accesso a mezzi pubblici,Accesso a vetture private,Biciclette per ospiti,Posto auto,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana		Inglese,Francese,Spagnolo			9.30795069	46.07650686	B&B
6	CR	CREMONA		1	0	2	1	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Biciclette per ospiti,Parco o giardino,Sala televisione separata					10.02881085	45.1326381	B&B
7	BS	TREMOSINE		2	0	5	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.77432818	45.79351997	Case_Appartamenti
8	SO	LIVIGNO		8	0	25	8	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.1363165	46.5378006	Case_Appartamenti
9	MI	PERO		2	0	6	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Accesso a mezzi pubblici,Parco o giardino,Posto auto,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana	American express,Visa,Master Card,Bancomat,CartaSi	Francese,Spagnolo			9.06977973	45.5191378	B&B
10	BG	CASTIONE DELLA PRESOLANA		27	3	54	27	0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Ascensore,Ristorante,Ristorante vegetariano,Bar,Giochi per bambini,Sala lettura separata,Sala televisione separata,Parco o giardino,Accettazione animali domestici,Servizio congressi,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Parcheggio custodito,Trasporto clienti stazione,Lavaggio e stiratura biancheria,Pulizia calzature,Servizi baby sitting,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Sauna privata,Solarium,Fitness/centro salute	American express,Visa,Master Card,Diners,Bancomat,CartaSi	Inglese,Francese,Spagnolo,Tedesco	Sci montano,Campo da calcetto,Pattinaggio su ghiaccio,Fitness/centro salute,Campo da bocce,Campo da tennis,Equitazione		10.04119471	45.91100083	1_a_3_Stelle
11	SO	LIVIGNO		19	0	38	19	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ascensore,Ristorante,Ristorante vegetariano,Bar,Sala lettura separata,Sala televisione separata,Accettazione gruppi,Accesso a mezzi pubblici,Autorimessa,Custodia valori in cassaforte,Sauna privata,Access. diversamente abili totale,Fitness/centro salute	Tutte	Inglese,Spagnolo,Tedesco			10.13956294	46.54314213	1_a_3_Stelle
12	CR	CREMONA		1	0	2	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Accesso a mezzi pubblici,Accettazione animali domestici,Aria condizionata centralizzata,Frigorifero,Lavaggio e stiratura biancheria		Inglese			10.028251	45.1368811	Case_Appartamenti
13	BS	MONNO		7	0	12	7	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ristorante,Bar,Giochi per bambini,Parco o giardino,Accesso a mezzi pubblici,Accesso a vetture private,Parcheggio non custodito					10.339759	46.2127	1_a_3_Stelle
14	BS	POZZOLENGO		1	0	2	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.6313729	45.4059696	Case_Appartamenti
15	BG	BERGAMO		3	0	5	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						9.67626137	45.69863867	B&B
16	BS	MANERBA DEL GARDA	SOLAROLO	3	0	10	2	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0						10.55049824	45.55099932	B&B
17	BS	MONTE ISOLA		2	0	3	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.0756206	45.70571021	Case_Appartamenti
18	MI	MILANO		2	0	6	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Access. diversamente abili parziale					9.18518407	45.48681771	Case_Appartamenti
19	CO	VERCANA	IL CIAPPONE	30	0	66	14	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						9.335137	46.159489	Case_Appartamenti
20	LC	PERLEDO		8	0	15	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						9.28793987	46.01636439	Case_Appartamenti
21	CO	DOMASO		93	0	359	46	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Bar,Accettazione animali domestici,Lavaggio e stiratura biancheria,Custodia valori in cassaforte,Access. diversamente abili totale,Rifornimento benzina immediate vicinanze,Market,Parcheggio non custodito,Telefono per uso comune,Piazzole prevalentemente a prato,Area attrezzata gioco bimbi,Videogiochi,Locale di ritrovo		Inglese,Francese,Tedesco	Calciobalilla,Campo da calcio,Maneggio,Campo attrezzato per pallavolo, beach volley, pallacanestro, calcetto,Campo da bocce,Noleggio attrezzature sportive,Escursioni organizzate,Attivit� sportive varie,Tennis da tavolo		9.33256365	46.15115448	Campeggio
22	BS	BRESCIA		37	0	45	19	0														10.24670133	45.56951829	Case_Appartamenti
23	BS	SALE MARASINO		1	0	2	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.11278226	45.71086485	Case_Appartamenti
24	MI	MILANO		2	0	5	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						9.17467152	45.45080851	Case_Appartamenti
25	BS	TOSCOLANO MADERNO		2	0	3	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.62786293	45.65472473	Case_Appartamenti
26	LC	LIERNA		1	0	2	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Accettazione animali domestici,Biciclette per ospiti,Giochi per bambini,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana	Visa,Master Card,Maestro,Bancomat,CartaSi	Inglese,Polacco			9.30243535	45.95920001	B&B
27	BG	SARNICO		4	0	8	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						9.95825156	45.66736968	Case_Appartamenti
28	CR	CREMA		2	0	4	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	Accesso a mezzi pubblici,Accesso a vetture private,Aria condizionata,Biciclette per ospiti,Parco o giardino,Posto auto,Sala televisione separata,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana		Inglese			9.6854809	45.35698205	B&B
29	SO	LIVIGNO		4	0	14	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.13237458	46.53380361	Case_Appartamenti
30	MN	COMMESSAGGIO		2	0	6	2	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Aria condizionata,Biciclette per ospiti,Posto auto		Francese			10.54535999	45.03436429	B&B
31	MI	MILANO		53	0	102	54	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ascensore,Bar,Sala lettura separata,Sala televisione separata,Parco o giardino,Accettazione animali domestici,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Autorimessa,Trasporto clienti stazione,Lavaggio e stiratura biancheria,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Aria condizionata non centralizzata,Riscaldamento,Parcheggio non custodito,Internet point,Estintori,Servizio in camera,Area fumatori,WI-FI in aree comuni,Televisione satellitare	American express,Visa,Master Card,Diners,Bank Americard,Maestro,Bancomat,Eurocard,CartaSi,JBC,JCB,AmexCo,Carta Moneta,BAC,Top Card,Visa Electron	Inglese,Francese,Spagnolo,Tedesco,Cinese			9.17208767	45.43696236	1_a_3_Stelle
32	BG	BERGAMO		1	0	2	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Access. diversamente abili totale,Accettazione animali domestici					9.65522242	45.68591552	Case_Appartamenti
33	MI	MILANO		19	0	34	20	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	Ascensore,Bar,Sala televisione separata,Accettazione animali domestici,Accettazione gruppi,Parcheggio custodito,Access. diversamente abili totale,Riscaldamento,Estintori,Fitness/centro salute	American express,Visa,Master Card,Bancomat,Eurocard,CartaSi	Inglese,Francese,Spagnolo,Tedesco,Rumeno			9.22693925	45.46776375	1_a_3_Stelle
34	CO	SORICO		12	0	24	12	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ristorante,Ristorante vegetariano,Bar,Giochi per bambini,Parco o giardino,Accettazione animali domestici,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Autorimessa,Trasporto clienti stazione,Pulizia calzature,Servizi baby sitting,Riscaldamento,Parcheggio non custodito,Internet point,Estintori	Visa,Maestro,Eurocard	Inglese,Francese,Spagnolo,Tedesco	Sub,Windsurf,Vela,Campo da tennis,Sci nautico,Equitazione		9.37995284	46.17141466	1_a_3_Stelle
35	BG	CAPRIATE SAN GERVASIO		2	0	5	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						9.53228581	45.60972711	B&B
36	MI	MILANO		6	0	12	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ascensore		Inglese,Arabo			9.10838741	45.47420729	Case_Appartamenti
37	BS	SAN FELICE DEL BENACO		1	0	10	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.55461083	45.59872064	Case_Appartamenti
38	LC	MARGNO		3	0	6	3	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Autorimessa,Giochi per bambini,Parco o giardino,Sala televisione separata,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana		Inglese,Francese			9.38014896	46.03136963	B&B
39	MI	MILANO		81	0	84	93	1									Access. diversamente abili totale					9.23379404	45.4620405	Case_Appartamenti
40	BS	MALEGNO		1	0	5	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.27042156	45.95120219	B&B
41	BS	SALO'		2	0	6	2	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0						10.49995816	45.60602273	B&B
42	BS	GARGNANO	FORMAGA	3	0	6	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Parco o giardino,Posto auto		Tedesco			10.6635006	45.688138	B&B
43	BS	SULZANO		3	0	6	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.11465553	45.68908653	Case_Appartamenti
44	BS	MONIGA DEL GARDA		17	0	29	17	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ristorante					10.5346228	45.52636307	1_a_3_Stelle
45	BG	OSIO SOPRA		3	0	8	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Parco o giardino					9.58465079	45.62917805	B&B
46	BS	SAN ZENO NAVIGLIO		3	0	9	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.21719472	45.49287314	B&B
47	MN	BAGNOLO SAN VITO	PONTE TRAVETTI	11	0	19	11	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ristorante,Bar,Accesso a vetture private,Parcheggio custodito,Access. diversamente abili parziale	Tutte				10.87255235	45.08768479	1_a_3_Stelle
48	MI	MILANO		18	0	36	13	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Access. diversamente abili parziale	American express,Visa,Master Card,Bancomat				9.19601161	45.48964512	Case_Appartamenti
49	VA	VARESE	Bizzozero	2	0	4	2	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	Aria condizionata		Inglese,Spagnolo			8.85127195	45.7914033	B&B
50	MB	MONZA		1	0	2	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Accettazione animali domestici	Tutte				9.29204027	45.58216777	Case_Appartamenti
51	VA	VENEGONO INFERIORE		2	0	5	3	0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	Access. diversamente abili parziale,Parco o giardino,Posto auto,Sala televisione separata,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana		Inglese,Francese,Spagnolo,Tedesco			8.90163113	45.74217304	B&B
52	BS	TREMOSINE		32	0	28	12	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.758142	45.7742929	Case_Appartamenti
53	MI	OPERA		69	0	138	69	0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	Ascensore,Ristorante,Ristorante vegetariano,Bar,Sala lettura separata,Sala televisione separata,Accettazione animali domestici,Servizio congressi,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Parcheggio custodito,Autorimessa,Trasporto clienti stazione,Lavaggio e stiratura biancheria,Pulizia calzature,Servizi baby sitting,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Aria condizionata centralizzata,Aria condizionata non centralizzata,Access. diversamente abili totale,Riscaldamento,Internet point,Estintori,Servizio in camera,Roof garden,Ecohotel,WI-FI in aree comuni,Access. diversamente abili parziale,Televisione satellitare,Sala accoglienza	American express,Visa,Master Card,Diners,Citibank,Bank Americard,Tutte,Maestro,Bancomat,CartaSi,AmexCo,Key Client,Visa Electron	Inglese,Francese,Spagnolo,Tedesco,Russo,Arabo		Numero sale congressi 3,Congressi capacita' Min 10,Congressi capacita' Max 250	9.21123675	45.37074119	4_a_5_Stelle
54	BG	FOPPOLO		10	0	20	10	0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Ascensore,Ristorante,Bar,Sala lettura separata,Sala televisione separata,Parco o giardino,Accettazione animali domestici,Accettazione gruppi,Trasporto clienti stazione,Custodia valori in cassaforte,Access. diversamente abili totale	Tutte				9.75180335	46.04368746	1_a_3_Stelle
55	CO	GRANDATE		3	0	7	3	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	Accettazione animali domestici,Parco o giardino,Posto auto,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana					9.06402063	45.77639134	B&B
56	BS	TOSCOLANO MADERNO	MADERNO	30	0	52	30	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Ascensore,Ristorante,Bar,Giochi per bambini,Sala lettura separata,Sala televisione separata,Parco o giardino,Accettazione animali domestici,Servizio congressi,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Trasporto clienti stazione,Custodia valori in cassaforte,Parcheggio non custodito	Visa,Master Card,Eurocard,CartaSi	Inglese,Francese,Tedesco,Portoghese			10.60637673	45.63244051	1_a_3_Stelle
57	PV	TROMELLO		2	0	3	1	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0						8.86479525	45.20748935	B&B
58	LC	ABBADIA LARIANA		1	0	2	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						9.33593807	45.89925283	B&B
59	SO	CAMPODOLCINO	Motta	57	57	151	57	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ascensore,Ristorante,Bar,Giochi per bambini,Sala lettura separata,Sala televisione separata,Parco o giardino,Accettazione animali domestici,Servizio congressi,Accesso a mezzi pubblici,Accesso a vetture private,Custodia valori in cassaforte,Access. diversamente abili parziale		Inglese,Francese	Sci montano		9.351706	46.4041882	1_a_3_Stelle
60	BG	BERGAMO		1	0	2	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						9.67282428	45.70181069	Case_Appartamenti
61	BS	DESENZANO DEL GARDA		3	0	7	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.55712091	45.45740648	B&B
62	BS	SIRMIONE		2	0	4	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.6111047	45.4610874	Case_Appartamenti
63	CO	CANZO		10	0	20	10	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ascensore,Ristorante,Bar,Accettazione animali domestici,Trasporto clienti stazione,Access. diversamente abili totale					9.27309768	45.84966283	1_a_3_Stelle
64	MI	MILANO		47	0	86	47	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ascensore,Bar,Sala lettura separata,Sala televisione separata,Accettazione animali domestici,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Parcheggio custodito,Autorimessa,Trasporto clienti stazione,Lavaggio e stiratura biancheria,Pulizia calzature,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Aria condizionata centralizzata,Aria condizionata non centralizzata,Riscaldamento,Estintori	American express,Visa,Master Card,Bank Americard,Tutte,Maestro,Bancomat,CartaSi,Key Client,Visa Electron	Inglese,Francese,Spagnolo,Tedesco,Arabo,Rumeno			9.152676	45.49066004	1_a_3_Stelle
65	BS	MANERBA DEL GARDA		3	0	6	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.55025325	45.56157231	Case_Appartamenti
66	BS	IDRO		4	0	4	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.4783256	45.7377454	Case_Appartamenti
67	MN	CARBONARA DI PO		37	0	64	37	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ascensore,Ristorante,Sala televisione separata,Parco o giardino,Accettazione animali domestici,Servizio congressi,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Autorimessa,Trasporto clienti stazione,Lavaggio e stiratura biancheria,Pulizia calzature,Custodia valori in cassaforte,Aria condizionata centralizzata,Access. diversamente abili parziale	American express,Visa,Master Card,Diners,Maestro,CartaSi	Inglese,Francese,Spagnolo,Tedesco,Serbo,Croato			11.228166	45.0378617	1_a_3_Stelle
68	MI	RHO		1	0	3	1	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	Accesso a mezzi pubblici,Aria condizionata,Parco o giardino,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana		Inglese,Francese,Spagnolo			9.04439509	45.55073402	B&B
69	MI	LAINATE		1	0	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana		Inglese,Tedesco			9.01491394	45.55043211	B&B
70	LC	MANDELLO DEL LARIO		7	0	7	6	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ristorante,Ristorante vegetariano,Bar,Giochi per bambini,Sala lettura separata,Sala televisione separata,Parco o giardino,Accettazione animali domestici,Accettazione gruppi,Accesso a vetture private,Trasporto clienti stazione,Custodia valori in cassaforte,Aria condizionata centralizzata,Riscaldamento,Parcheggio non custodito,Internet point,Estintori,Area fumatori,WI-FI in aree comuni,Sala accoglienza,Pizzeria	Visa,Master Card,Maestro,Bancomat,CartaSi,Carta Moneta	Inglese,Francese,Tedesco			9.319341	45.919183	1_a_3_Stelle
71	CR	CREMONA		63	0	97	63	1	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	Ascensore,Ristorante,Ristorante vegetariano,Tavernetta o tavola calda,Bar,Sala lettura separata,Sala televisione separata,Accettazione animali domestici,Servizio congressi,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Parcheggio custodito,Autorimessa,Trasporto clienti stazione,Lavaggio e stiratura biancheria,Pulizia calzature,Servizi baby sitting,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Aria condizionata centralizzata,Aria condizionata non centralizzata,Access. diversamente abili totale,Riscaldamento,Parcheggio non custodito,Internet point,Estintori,Servizio in camera,Negozio,Roof garden,Ecohotel,WI-FI in aree comuni,Televisione satellitare,Sala accoglienza,Fitness/centro salute,Pizzeria,Biciclette per ospiti	American express,Visa,Master Card,Diners,Bank Americard,Tutte,Maestro,Bancomat,CartaSi,JTB,JBC,JCB,AmexCo,Visa Electron	Inglese,Francese,Spagnolo,Tedesco,Portoghese,Indiano,Rumeno		Numero sale congressi 2,Congressi capacita' Min 10,Congressi capacita' Max 100	10.03209661	45.13705708	4_a_5_Stelle
72	BS	MANERBA DEL GARDA		11	0	36	11	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.55458838	45.53898351	Case_Appartamenti
73	BG	BERGAMO		2	0	2	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						9.66315392	45.69339977	Case_Appartamenti
74	MI	SAN ZENONE AL LAMBRO		1	0	2	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Accesso a mezzi pubblici,Biciclette per ospiti,Parco o giardino,Posto auto,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana		Inglese,Francese			9.3541086	45.32515104	B&B
75	BS	TIGNALE		4	0	8	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.7217649	45.7397806	Case_Appartamenti
76	LC	PERLEDO		3	0	6	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		Visa,Master Card,Diners,Citibank,Bank Americard,Maestro,Bancomat,Eurocard,CartaSi,JTB,JBC,JCB,Carta Moneta,Masterchange,BAC,Key Client,JCV,EDC,Carte Blanche,Top Card,MobilMat,Visa Electron	Inglese,Francese			9.29718703	46.02721179	B&B
77	CR	CREMONA		1	0	2	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Access. diversamente abili parziale,Accettazione animali domestici					10.01935734	45.13097381	Case_Appartamenti
78	LO	SANT'ANGELO LODIGIANO		16	0	27	16	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ascensore,Ristorante,Ristorante vegetariano,Bar,Sala televisione separata,Accettazione animali domestici,Servizio congressi,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Autorimessa,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Aria condizionata centralizzata,Aria condizionata non centralizzata,Access. diversamente abili totale,Riscaldamento,Parcheggio non custodito,Internet point,Estintori,Servizio in camera,WI-FI in aree comuni,Access. diversamente abili parziale,Televisione satellitare,Sala accoglienza,Fitness/centro salute	Visa,Master Card,Bank Americard,Maestro,Bancomat,CartaSi,Key Client,Visa Electron	Inglese,Francese	Fitness/centro salute	Numero sale congressi 1,Congressi capacita' Min 10,Congressi capacita' Max 50	9.4064233	45.24227536	1_a_3_Stelle
79	MB	ARCORE		59	1	113	59	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Ascensore,Bar,Parco o giardino,Accettazione animali domestici,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Parcheggio custodito,Autorimessa,Lavaggio e stiratura biancheria,Servizi baby sitting,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Aria condizionata centralizzata,Access. diversamente abili totale,Riscaldamento,Parcheggio non custodito,Internet point,Estintori,Servizio in camera,Area fumatori,WI-FI in aree comuni,Access. diversamente abili parziale,Televisione satellitare,Sala accoglienza	American express,Visa,Master Card,Diners,Maestro,Bancomat,CartaSi,Carta Moneta,Key Client,Visa Electron	Inglese,Francese,Spagnolo,Tedesco,Russo		Numero sale congressi 1,Congressi capacita' Max 100	9.3315508	45.62985542	4_a_5_Stelle
80	LC	BELLANO		3	0	5	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Accesso a mezzi pubblici,Accettazione animali domestici,Accettazione gruppi,Biciclette per ospiti,Giochi per bambini,Parco o giardino,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana		Inglese,Francese			9.3060387	46.0433967	B&B
81	BS	TOSCOLANO MADERNO		1	0	3	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.61035571	45.6428133	Case_Appartamenti
82	LC	OLIVETO LARIO		3	0	6	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Autorimessa,Parco o giardino,Posto auto,Sala televisione separata,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana		Inglese,Francese,Spagnolo			9.29098578	45.9154167	B&B
83	BS	ROE' VOLCIANO		2	0	4	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.50047208	45.62764051	B&B
84	PV	TROMELLO		1	0	4	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						8.87184237	45.20814811	B&B
85	BS	BRESCIA		1	0	2	1	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0						10.23178693	45.52996661	B&B
86	VA	VIZZOLA TICINO		65	9	114	68	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	Ascensore,Ristorante,Ristorante vegetariano,Bar,Parco o giardino,Accettazione animali domestici,Servizio congressi,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Parcheggio custodito,Trasporto clienti stazione,Lavaggio e stiratura biancheria,Pulizia calzature,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Aria condizionata centralizzata,Estintori,WI-FI in aree comuni,Access. diversamente abili parziale	American express,Master Card,Diners,Tutte,CartaSi,JCB,AmexCo	Inglese,Francese,Spagnolo,Tedesco	Piscina scoperta	Numero sale congressi 5,Congressi capacita' Min 8,Congressi capacita' Max 100	8.69781561	45.62399464	4_a_5_Stelle
87	SO	LIVIGNO		5	0	20	5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						10.13560237	46.53847025	Case_Appartamenti
